ACRES,Alice Springs,-23.75881,133.882599,576.542
ACRES,Hobart,-42.84583,147.291944,35.339
CCRS,GSS,45.5813,-75.8062,330
CCRS,PASS,53.2126,-105.934,488.8
CCRS,Gatineau,45.5813,-75.8062,330
CCRS,Prince Albert,53.2126,-105.934,488.8
CNES,Aussaguel11,43.4286,1.5,0
CNES,Esrange,68.483333,26.1,386
CNES,Hartebeesthoek-T,-25.8867,27.7122,0
CNES,Hartesbeesthoek-R,-25.8864,27.7072,0
CNES,Kourou11,5.9861,-52.6394,0
CRL,Kashima11,35.9531,140.6606,0
CRL,Kashima26,35.9508,140.6606,0
CRL,Kashima34,35.9531,140.6633,0
CRL,KashimaCS10,35.9531,140.6667,0
CRL,KashimiaBS13,35.9531,140.6658,0
CSA,SHUB,45.5188357,-73.39675,7.81
CSA,SASK,52.1394272,-106.62587,498.84
DataLynx,DXAS,65.11793,-147.4335,518.9
DLR,Neustrelitz X1,53.32983,13.0690946,151.329
DLR,Neustrelitz X2,53.329634,13.0708396,155.819
DLR,Neustrelitz X3,53.327811,13.0734863,154.12
DLR,Wallops14,37.9467,-75.4442,0
DLR,Wallops26,37.9467,-75.5936,0
DLR,Weilheim30,47.8812,11.095,0
DLR,WeilheimI,47.8801,11.102,0
DLR,WeilheimII,47.8812,11.102,0
DLR,WhiteSands,34.5,-105,0
DOC CRC,Ottawa,45.3486,-75.8908,0
EO,Esrange,68.4833333,26.1,386
EO,Svalbard,78.2166667,15.38333,461
EO,Tromso,69.6666667,18.95,104
ESA,Kiruna,67.8571252,20.96434169,402.275
ESA,Kourou,5.25143694,-52.8046624,14.561
ESA,Malindi,-2.9955576,40.194505,12.314
ESA,Maspalomas,27.762892,-15.6338072,204.9
ESA,Perth,-31.802525,115.8851556,22.156
ESA,Redu,50.0020552,5.146231,385.583
ESA,Villafranca,40.4455932,-3.95260078,664.425
INPE,ETE Alcantara11,-2.4,-44.4167,0
INPE,ETE Cuiaba11,-15.5333,-56.0667,0
INPE,SRE CachoeiraPaulista,-22.6833,-45,0
INPE,SRE Cuiaba,-15.5333,-56.0667,0
INPE,SRE RemoteSens,-15.5333,-56.0667,0
INPE,SRE SARSAT,-22.6833,-45,0
ISAS,USUDA,36.1325,138.3627,0
ISRO,Bangalore,13.0339,77.51,0
ISRO,Carnicobar,9.1492,92.815,0
ISRO,Lucknow,26.9128,80.9569,0
ISRO,Mauritius,-20.345,57.5189,0
ISRO,Sriharikota-1,13.6731,80.1961,0
ISRO,Sriharikota-2,13.6961,80.2261,0
ISRO,Trivandrum,8.29,76.57,0
Launch,Alcantara Brazil LC,-2.3,-44.4,0
Launch,Cape Canaveral ETR USA LC,28.5,-81,0
Launch,Cape York Australia LC Planned,-12.25,143,0
Launch,Edwards AFB USA LC,35,-118,0
Launch,Hammaguir France LC Not Used,31,-8,0
Launch,Jiuquan SCT China LC,40.6,99.9,0
Launch,Kagoshima Japan LC,31.2,131.1,0
Launch,Kapustin Yar CIS LC Not Used,48.4,45.8,0
Launch,Kourou France Europe LC,5.2,-52.8,0
Launch,Kwajalein Atoll ALCOR,9.39861,167.4829,42.3
Launch,Palmachim Yavne Israel LC,31.5,34.5,0
Launch,Plesetsk CIS LC,62.8,40.1,0
Launch,San Marco Italy LC Not Used,-2.9,40.3,0
Launch,Sriharikota India LC,13.9,80.4,0
Launch,Taiyuan Wuzhai China LC,37.5,112.6,0
Launch,Tanegashima Japan LC,30.4,130.966,0
Launch,Torrejon AB Spain LC,40.488,-3.457,0
Launch,Tyuratam Baikonur CIS LC,45.6,63.4,0
Launch,Vandenberg AFB WTR USA LC,34.4,-120.35,0
Launch,Wallops Island USA LC,37.8,-75.5,0
Launch,Woomera Australia LC Not Used,-31.1,136.8,0
Launch,Xichang China LC,28.25,102,0
NASA DSN,Canberra26,-35.2236,148.9831,0
NASA DSN,Canberra34,-35.2192,148.9814,0
NASA DSN,Canberra34HEF,-35.2169,148.9778,0
NASA DSN,Canberra34STD,-35.2192,148.9814,0
NASA DSN,Canberra70,-35.2209,148.9814,0
NASA DSN,Goldstone26,35.1603,-116.8736,0
NASA DSN,Goldstone34HEF,35.2403,-116.8872,0
NASA DSN,Goldstone34STD,35.1186,-116.8056,0
NASA DSN,Goldstone70,35.2444,-116.8894,0
